location,property_type,bedrooms,bathrooms,house_size,floor,total_floors,furnished,parking,balcony,age,monthly_rent
Dhanmondi,Apartment,3,3,1134,3,7,No,Yes,Yes,3,51000
Jatrabari,Duplex,5,5,2497,6,6,No,No,Yes,6,57500
Dhanmondi,Apartment,3,2,977,3,6,No,No,No,11,36000
Dhanmondi,Apartment,3,3,857,4,9,No,No,Yes,3,38000
Dhanmondi,Apartment,3,3,1137,5,12,Yes,Yes,Yes,6,56000
Gulshan,Apartment,2,1,604,3,5,No,No,Yes,9,30500
Khilgaon,Apartment,2,1,731,5,6,Yes,No,Yes,11,24500
Bashundhara,Apartment,3,3,1264,7,8,No,Yes,Yes,10,42000
Mohammadpur,Apartment,3,4,1472,7,7,Yes,No,Yes,7,48000
Bashundhara,Apartment,3,2,860,2,9,No,No,Yes,2,30500
Gulshan,Apartment,3,2,1301,7,9,No,Yes,Yes,0,75000
Mirpur,Apartment,3,4,1520,2,12,No,Yes,Yes,1,42000
Bashundhara,House,4,4,943,4,7,No,Yes,Yes,1,44000
Jatrabari,House,4,3,1512,3,7,No,Yes,Yes,6,36000
Bashundhara,Apartment,3,3,1149,2,6,Yes,No,Yes,2,50500
Dhanmondi,Studio,1,1,504,3,9,No,Yes,No,17,22000
Uttara,Apartment,3,3,1233,5,14,No,Yes,No,6,40000
Dhanmondi,House,3,2,1712,3,6,No,Yes,Yes,0,68500
Banani,House,3,3,1563,5,8,No,No,Yes,2,74500
Gulshan,Apartment,3,3,1436,3,7,No,Yes,No,10,69000
Khilgaon,Apartment,3,3,1363,5,8,Yes,Yes,Yes,2,48000
Mirpur,Apartment,3,4,1414,5,5,Yes,Yes,Yes,11,50000
Mohammadpur,Apartment,3,2,1200,9,12,No,No,Yes,15,30500
Mirpur,Apartment,3,3,1454,4,5,No,Yes,Yes,0,39500
Mirpur,Apartment,3,2,979,1,5,No,No,Yes,17,20000
Dhanmondi,Apartment,4,4,1531,3,4,Yes,No,No,9,67500
Mohammadpur,Apartment,3,2,1353,16,16,No,No,No,0,34000
Bashundhara,Apartment,2,2,878,3,6,No,No,Yes,3,31000
Dhanmondi,House,3,3,1752,3,4,Yes,Yes,Yes,15,79000
Banani,Studio,1,1,250,6,8,No,No,Yes,12,14500
Mirpur,Duplex,6,6,1800,1,12,No,Yes,Yes,0,54500
Dhanmondi,House,5,5,1723,7,8,Yes,Yes,Yes,2,94500
Mirpur,Apartment,2,1,704,2,5,Yes,No,Yes,0,25500
Uttara,Apartment,3,4,1594,2,5,No,Yes,No,0,52000
Uttara,Apartment,4,3,1486,10,12,No,Yes,Yes,12,46500
Bashundhara,Apartment,3,4,1641,3,8,No,No,Yes,3,53000
Gulshan,Apartment,3,2,1358,6,7,No,No,Yes,4,71000
Mohakhali,Apartment,3,3,949,6,8,No,No,Yes,8,31500
Bashundhara,Apartment,2,1,798,3,8,No,No,Yes,8,29000
Mohammadpur,Duplex,4,5,2724,6,8,No,No,Yes,0,80500
Mohammadpur,Apartment,3,3,1331,8,10,Yes,No,Yes,1,47500
Uttara,Apartment,2,1,770,3,8,No,Yes,Yes,1,33000
Badda,Apartment,3,2,835,4,5,No,No,Yes,0,23500
